,group,subgroup,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
WAG,general,general,0.08662791,0.043972,0.0390894,0.05704511,0.0193078,0.0367281,0.05805891,0.08325181,0.0244313,0.048466,0.08620901,0.06202861,0.0195027,0.0384319,0.0457631,0.06951791,0.06101271,0.0143859,0.0352742,0.07089561
Dayhoff,general,general,0.08712691,0.04090396,0.04043196,0.04687195,0.03347397,0.03825496,0.04952995,0.08861191,0.03361897,0.03688596,0.08535691,0.08048092,0.01475299,0.03977196,0.05067995,0.06957693,0.05854194,0.01049399,0.02991597,0.06471794
JTT,general,general,0.07674792,0.05169095,0.04264496,0.05154395,0.01980298,0.04075196,0.06182994,0.07315193,0.02294398,0.05376095,0.09190391,0.05867594,0.02382598,0.04012596,0.05090095,0.06876493,0.05856494,0.01426099,0.03210197,0.06600493
LG,general,general,0.07906592,0.05594094,0.04197696,0.05305195,0.01293699,0.04076696,0.07158593,0.05733694,0.02235498,0.06215694,0.0990809,0.06459994,0.02295098,0.04230196,0.04403996,0.06119694,0.05328695,0.01206599,0.03415497,0.06914693
VT,general,general,0.077076462,0.050081937,0.04623774,0.053792986,0.014453339,0.040892361,0.063357934,0.065567236,0.021880269,0.05919697,0.097646128,0.059207941,0.022069588,0.041350852,0.04768716,0.070729517,0.056775916,0.01270198,0.032374605,0.066919082
PMB,general,general,0.07559244,0.05379462,0.03769623,0.04469553,0.02849715,0.03389661,0.05349465,0.0779922,0.029997,0.05989401,0.09579042,0.0519948,0.02189781,0.0449955,0.0419958,0.06819318,0.05639436,0.01569843,0.0359964,0.07149285
Blosum62,general,general,0.074,0.052,0.045,0.054,0.025,0.034,0.054,0.074,0.026,0.068,0.099,0.058,0.025,0.047,0.039,0.057,0.051,0.013,0.032,0.073
mtREV,organellar,organellar,0.072,0.019,0.039,0.019,0.006,0.025,0.024,0.056,0.028,0.088,0.169,0.023,0.054,0.061,0.054,0.072,0.086,0.029,0.033,0.043
mtMAM,organellar,organellar,0.0692,0.0184,0.04,0.0186,0.0065,0.0238,0.0236,0.0557,0.0277,0.0905,0.1675,0.0221,0.0561,0.0611,0.0536,0.0725,0.087,0.0293,0.034,0.0428
mtART,organellar,organellar,0.054116,0.018227,0.039903,0.02016,0.009709,0.018781,0.024289,0.068183,0.024518,0.092638,0.148658,0.021718,0.061453,0.088668,0.041826,0.09103,0.049194,0.029786,0.039443,0.0577
mtZOA,organellar,organellar,0.06887993,0.02103698,0.03038997,0.02069598,0.00996599,0.01862298,0.02498898,0.07196793,0.02681397,0.08507191,0.15671684,0.01927598,0.05065195,0.08171192,0.04480296,0.08053492,0.05638594,0.02799797,0.03740396,0.06608293
mtMet,organellar,organellar,0.043793213,0.012957804,0.057001317,0.016899005,0.011330503,0.018018105,0.022538507,0.047050114,0.017183705,0.089779427,0.155226047,0.039913512,0.06744432,0.088448027,0.037528211,0.093752228,0.063579019,0.022671307,0.041568212,0.053317416
mtVer,organellar,organellar,0.070820265,0.014049893,0.045209877,0.014793693,0.006814197,0.026340887,0.021495189,0.044239978,0.024230988,0.090735055,0.172309914,0.027381186,0.056193972,0.049775775,0.054386273,0.074421863,0.108809946,0.025652687,0.026484687,0.045853677
mtInv,organellar,organellar,0.031742313,0.010900704,0.061579225,0.016149206,0.013570105,0.014644106,0.022311209,0.047847519,0.011641805,0.094322338,0.14940706,0.044438718,0.077262531,0.102287041,0.026290211,0.105939042,0.042869117,0.020701008,0.046556719,0.059540024
